id,text
501,"This movie was absolutely fantastic! Highly recommended."
502,"The service at this restaurant was incredibly slow and disappointing."
503,"New advancements in renewable energy were announced at the summit."
504,"The latest software update fixed several critical bugs."
505,"I'm feeling quite neutral about the proposed changes."
506,"The local football team won the championship yesterday."
507,"Learning about database normalization helps in designing efficient schemas."
508,"This book was okay, but the plot felt a bit predictable."
509,"Terrible experience with customer support, very unhelpful."
510,"The quarterly earnings report showed strong growth in the tech sector." 